PharmGKB Accession Id	Name	Alternate Names	Cross-references	External Vocabulary
PA446153	Leprosy, Tuberculoid	"""Leprosies, Macular"", ""Leprosies, Neural"", ""Leprosies, Tuberculoid"", ""Leprosy, Macular"", ""Leprosy, Neural"", ""Macular Leprosies"", ""Macular Leprosy"", ""Neural Leprosies"", ""Neural Leprosy"", ""Nodular leprosy"", ""Tuberculoid Leprosies"", ""Tuberculoid Leprosy"", ""Tuberculoid leprosy"""		"""MeSH:D015441(Leprosy, Tuberculoid)"", ""SnoMedCT:70143003(Tuberculoid leprosy)"", ""UMLS:C0023351(C0023351)"", ""MedDRA:10028450(Mycobacterium leprae infection (tuberculoid))"", ""NDFRT:N0000003243(Leprosy, Tuberculoid [Disease/Finding])"", ""MONDO:MONDO:0005126(tuberculoid leprosy)"""
PA444748	Lesch-Nyhan Syndrome	"""Choreoathetosis Self Mutilation Hyperuricemia Syndrome"", ""Choreoathetosis Self-Mutilation Hyperuricemia Syndrome"", ""Choreoathetosis self-mutilation syndrome"", ""Complete HGPRT Deficiency Disease"", ""Complete HGPRT deficiency"", ""Complete hypoxanthine-guanine phosphoribosyltransferase deficiency"", ""Deficiency Disease, Complete HGPRT"", ""Deficiency Disease, Hypoxanthine Phosphoribosyl Transferase"", ""Deficiency Disease, Hypoxanthine-Phosphoribosyl-Transferase"", ""Deficiency Diseases, Hypoxanthine-Phosphoribosyl-Transferase"", ""Deficiency of IMP pyrophosphorylase"", ""Deficiency of guanine phosphoribosyltransferase"", ""Deficiency of hypoxanthine phosphoribosyltransferase"", ""Deficiency of hypoxanthine-guanine phosphoribosyltransferase"", ""Disease, Hypoxanthine-Phosphoribosyl-Transferase Deficiency"", ""Disease, Lesch-Nyhan"", ""Diseases, Hypoxanthine-Phosphoribosyl-Transferase Deficiency"", ""HGPRT Deficiency Disease, Complete"", ""HGPRT deficiency"", ""Hypoxanthine Phosphoribosyl Transferase Deficiency Disease"", ""Hypoxanthine-Phosphoribosyl-Transferase Deficiency Disease"", ""Hypoxanthine-Phosphoribosyl-Transferase Deficiency Diseases"", ""Hypoxanthine-guanine phosphoribosyltransferase deficiency"", ""Lesch Nyhan Disease"", ""Lesch Nyhan Syndrome"", ""Lesch-Nyhan Disease"", ""Lesch-Nyhan disease"", ""Lesch-Nyhan syndrome"", ""Total HGPRT deficiency"", ""X-linked hyperuricaemia"", ""X-linked hyperuricemia"""		MeSH:D007926(Lesch-Nyhan Syndrome), SnoMedCT:10406007(Lesch-Nyhan syndrome), SnoMedCT:124275001(Deficiency of hypoxanthine phosphoribosyltransferase), UMLS:C0023374(C0023374), MedDRA:10024245(Lesch-Nyhan syndrome), NDFRT:N0000001813(Lesch-Nyhan Syndrome [Disease/Finding]), MONDO:MONDO:0010298(Lesch-Nyhan syndrome)
PA152545809	Lethal Congenital Contractual Syndrome Type 2			MONDO:MONDO:0011868(lethal congenital contracture syndrome 2)
PA152545810	Lethal Congenital Contractual Syndrome Type 3			MONDO:MONDO:0012656(lethal congenital contracture syndrome 3)
PA444750	Leukemia	"""Aleukemic leukemia [obs]"", ""Leukaemia"", ""Leukaemia NOS"", ""Leukaemia, NOS"", ""Leukaemia, no ICD-O subtype"", ""Leukemia NOS"", ""Leukemia, NOS"", ""Leukemia, NOS, without mention of remission"", ""Leukemias"""		MeSH:D007938(Leukemia), SnoMedCT:188762002(Leukemia of unspecified cell type), SnoMedCT:188767008(Leukemia NOS), SnoMedCT:87163000(Leukaemia), SnoMedCT:93143009(Leukemia), UMLS:C0023418(C0023418), MedDRA:10024288(Leukaemia), NDFRT:N0000001815(Leukemia [Disease/Finding]), MONDO:MONDO:0005059(leukemia), HP:HP:0001909(Leukemia)
PA166048910	Leukemia, Basophilic, Acute			"""NDFRT:N0000003268(Leukemia, Basophilic, Acute)"", ""MONDO:MONDO:0019458(acute basophilic leukemia)"""
PA446179	Leukemia, Eosinophilic, Acute	"""Acute Eosinophilic Leukemia"", ""Acute Eosinophilic Leukemias"", ""Acute eosinophilic leukemia"", ""Eosinophilic Leukemia, Acute"", ""Eosinophilic Leukemias, Acute"", ""Leukemia, Acute Eosinophilic"", ""Leukemias, Acute Eosinophilic"""		"""MeSH:D015472(Leukemia, Eosinophilic, Acute)"", ""SnoMedCT:277604002(Acute eosinophilic leukemia)"", ""UMLS:C0023439(C0023439)"", ""NDFRT:N0000003269(Leukemia, Eosinophilic, Acute [Disease/Finding])"", ""MONDO:MONDO:0043881(obsolete acute eosinophilic leukemia)"""
PA444755	Leukemia, Hairy Cell	"""HCL - Hairy cell leukaemia"", ""Hairy Cell Leukemia"", ""Hairy Cell Leukemias"", ""Hairy cell leukaemia"", ""Hairy cell leukaemia (clinical)"", ""Hairy cell leukemia"", ""LRE - Leukaemic reticuloendotheliosis"", ""LRE - Leukemic reticuloendotheliosis"", ""Leukaemic reticuloendotheliosis"", ""Leukaemic reticuloendotheliosis (clinical) [obs]"", ""Leukaemic reticuloendotheliosis NOS"", ""Leukemias, Hairy Cell"", ""Leukemic Reticuloendothelioses"", ""Leukemic Reticuloendotheliosis"", ""Leukemic reticuloendotheliosis"", ""Leukemic reticuloendotheliosis (clinical) [obs]"", ""Leukemic reticuloendotheliosis of unspecified sites"", ""Reticuloendothelioses, Leukemic"", ""Reticuloendotheliosis, Leukemic"", ""[M]Hairy cell leukemia"""		"""MeSH:D007943(Leukemia, Hairy Cell)"", ""SnoMedCT:118613001(Hairy cell leukaemia (clinical))"", ""SnoMedCT:188644003(Leukemic reticuloendotheliosis of unspecified sites)"", ""SnoMedCT:188653005(Leukemic reticuloendotheliosis NOS)"", ""SnoMedCT:54087003(Hairy cell leukemia)"", ""UMLS:C0023443(C0023443)"", ""MedDRA:10019053(Hairy cell leukaemia)"", ""NDFRT:N0000001820(Leukemia, Hairy Cell [Disease/Finding])"", ""MONDO:MONDO:0018935(hairy cell leukemia)"""
PA446169	Leukemia, Lymphocytic, Chronic, B-Cell	"""B Cell Leukemia, Chronic"", ""B Lymphocytic Leukemia, Chronic"", ""B-CLL - B-cell chronic lymphocytic leukaemia"", ""B-CLL - B-cell chronic lymphocytic leukemia"", ""B-Cell Leukemia, Chronic"", ""B-Cell Leukemias, Chronic"", ""B-Lymphocytic Leukemia, Chronic"", ""B-Lymphocytic Leukemias, Chronic"", ""B-cell chronic lymphocytic leukaemia"", ""B-cell chronic lymphocytic leukemia"", ""CLL - Chronic lymphocytic leukaemia"", ""Chronic B-Cell Leukemia"", ""Chronic B-Cell Leukemias"", ""Chronic B-Lymphocytic Leukemia"", ""Chronic B-Lymphocytic Leukemias"", ""Chronic Lymphoblastic Leukemia"", ""Chronic Lymphoblastic Leukemias"", ""Chronic Lymphocytic Leukemia"", ""Chronic Lymphocytic Leukemias"", ""Chronic lymphoid leukemia without mention of remission"", ""Chronic lymphoid leukemia, disease"", ""Leukemia, B Cell, Chronic"", ""Leukemia, B-Cell, Chronic"", ""Leukemia, Chronic B-Cell"", ""Leukemia, Chronic B-Lymphocytic"", ""Leukemia, Chronic Lymphoblastic"", ""Leukemia, Chronic Lymphocytic"", ""Leukemia, Lymphoblastic, Chronic"", ""Leukemia, Lymphocytic, Chronic"", ""Leukemia, Lymphocytic, Chronic, B Cell"", ""Leukemia, Lymphocytic, Chronic, B-Cell"", ""Leukemias, Chronic B-Cell"", ""Leukemias, Chronic B-Lymphocytic"", ""Leukemias, Chronic Lymphoblastic"", ""Leukemias, Chronic Lymphocytic"", ""Lymphoblastic Leukemia, Chronic"", ""Lymphoblastic Leukemias, Chronic"", ""Lymphocytic Leukemia, Chronic"", ""Lymphocytic Leukemia, Chronic, B Cell"", ""Lymphocytic Leukemia, Chronic, B-Cell"", ""Lymphocytic Leukemias, Chronic"", ""Lymphocytic Lymphoma"", ""Lymphocytic Lymphomas"", ""Lymphoma, Lymphocytic"", ""Lymphoma, Lymphocytic, Plasmacytoid"", ""Lymphoma, Small Cell"", ""Lymphoma, Small-Cell"", ""Lymphomas, Lymphocytic"", ""Lymphomas, Small-Cell"", ""Small Cell Lymphoma"", ""Small-Cell Lymphoma"", ""Small-Cell Lymphomas"""		"""MeSH:D015451(Leukemia, Lymphocytic, Chronic, B-Cell)"", ""SnoMedCT:277473004(B-cell chronic lymphocytic leukaemia)"", ""SnoMedCT:51092000(B-cell chronic lymphocytic leukemia/small lymphocytic lymphoma)"", ""SnoMedCT:92814006(Chronic lymphoid leukemia, disease)"", ""UMLS:C0023434(C0023434)"", ""MedDRA:10008956(Chronic lymphatic leukaemia)"", ""NDFRT:N0000003248(Leukemia, Lymphocytic, Chronic, B-Cell [Disease/Finding])"", ""MONDO:MONDO:0004948(B-cell chronic lymphocytic leukemia)"""
PA446167	Leukemia-Lymphoma, Adult T-Cell	"""ATLL"", ""ATLLs"", ""Adult T-Cell Leukemia"", ""Adult T-Cell Leukemia-Lymphoma"", ""Adult T-Cell Leukemia-Lymphomas"", ""Adult T-Cell Leukemias"", ""Adult T-cell leukaemia"", ""Adult T-cell leukaemia/lymphoma"", ""Adult T-cell leukaemia/lymphoma (clinical)"", ""Adult T-cell leukemia"", ""Adult T-cell leukemia/lymphoma"", ""Adult T-cell lymphoma/leukemia"", ""HTLV Associated Leukemia Lymphoma"", ""HTLV I Associated T Cell Leukemia Lymphoma"", ""HTLV-Associated Leukemia-Lymphoma"", ""HTLV-Associated Leukemia-Lymphomas"", ""HTLV-I-Associated T-Cell Leukemia-Lymphoma"", ""HTLV-I-Associated T-Cell Leukemia-Lymphomas"", ""Human T Cell Leukemia Lymphoma"", ""Human T Lymphotropic Virus Associated Leukemia Lymphoma"", ""Human T Lymphotropic Virus-Associated Leukemia-Lymphoma"", ""Human T-Cell Leukemia-Lymphoma"", ""Human T-Cell Leukemia-Lymphomas"", ""Leukemia Lymphoma, Adult T Cell"", ""Leukemia Lymphoma, T Cell, Acute, HTLV I Associated"", ""Leukemia, Adult T Cell"", ""Leukemia, Adult T-Cell"", ""Leukemia-Lymphoma, Adult T-Cell"", ""Leukemia-Lymphoma, HTLV-Associated"", ""Leukemia-Lymphoma, HTLV-I-Associated T-Cell"", ""Leukemia-Lymphoma, Human T-Cell"", ""Leukemia-Lymphoma, T-Cell, Acute, HTLV-I-Associated"", ""Leukemia-Lymphomas, Adult T-Cell"", ""Leukemia-Lymphomas, HTLV-Associated"", ""Leukemia-Lymphomas, HTLV-I-Associated T-Cell"", ""Leukemia-Lymphomas, Human T-Cell"", ""Leukemias, Adult T-Cell"", ""T Cell Leukemia Lymphoma, Adult"", ""T Cell Leukemia Lymphoma, HTLV I Associated"", ""T Cell Leukemia, Adult"", ""T-Cell Leukemia, Adult"", ""T-Cell Leukemia-Lymphoma, Adult"", ""T-Cell Leukemia-Lymphoma, HTLV-I-Associated"", ""T-Cell Leukemia-Lymphoma, Human"", ""T-Cell Leukemia-Lymphomas, Adult"", ""T-Cell Leukemia-Lymphomas, HTLV-I-Associated"", ""T-Cell Leukemia-Lymphomas, Human"", ""T-Cell Leukemias, Adult"", ""[M]Adult T-cell leukaemia/lymphoma"", ""[M]Adult T-cell leukemia/lymphoma"""		"""MeSH:D015459(Leukemia-Lymphoma, Adult T-Cell)"", ""SnoMedCT:110007008(Adult T-cell leukemia/lymphoma)"", ""SnoMedCT:188729005(Adult T-cell leukemia)"", ""SnoMedCT:77430005(Adult T-cell leukemia/lymphoma)"", ""UMLS:C0023493(C0023493)"", ""MedDRA:10001412(Adult T-cell leukemia-lymphoma)"", ""NDFRT:N0000003256(Leukemia-Lymphoma, Adult T-Cell [Disease/Finding])"", ""MONDO:MONDO:0019471(adult T-cell leukemia/lymphoma)"""
PA444758	Leukemia, Megakaryoblastic, Acute	"""Acute Megakaryoblastic Leukemia"", ""Acute Megakaryoblastic Leukemias"", ""Acute Megakaryocytic Leukemia"", ""Acute Megakaryocytic Leukemias"", ""Acute megakaryoblastic leukaemia"", ""Acute megakaryoblastic leukaemia, FAB M7"", ""Acute megakaryoblastic leukemia"", ""Acute megakaryoblastic leukemia, FAB M7"", ""Acute megakaryoblastic leukemia, morphology"", ""FAB M7"", ""Leukemia, Acute Megakaryoblastic"", ""Leukemia, Acute Megakaryocytic"", ""Leukemia, Megakaryoblastic, Acute"", ""Leukemia, Megakaryocytic"", ""Leukemia, Megakaryocytic, Acute"", ""Leukemia, Myeloid, Acute, M7"", ""Leukemias, Acute Megakaryoblastic"", ""Leukemias, Acute Megakaryocytic"", ""Leukemias, Megakaryocytic"", ""M7 - Acute megakaryoblastic leukemia"", ""Malignant megakaryocytosis"", ""Megakaryoblastic Leukemia, Acute"", ""Megakaryoblastic Leukemias, Acute"", ""Megakaryoblastic leukaemia"", ""Megakaryoblastic leukemia"", ""Megakaryocytic Leukemia"", ""Megakaryocytic Leukemia, Acute"", ""Megakaryocytic Leukemias"", ""Megakaryocytic Leukemias, Acute"", ""Megakaryocytic leukaemia"", ""Megakaryocytic leukemia"", ""Megakaryocytic myelosis"", ""Myeloid Leukemia, Acute, M7"", ""Thrombocytic leukaemia"""		"""MeSH:D007947(Leukemia, Megakaryoblastic, Acute)"", ""SnoMedCT:188754005(Megakaryocytic leukaemia)"", ""SnoMedCT:277602003(Acute megakaryoblastic leukaemia)"", ""SnoMedCT:52220008(Acute megakaryoblastic leukemia)"", ""UMLS:C0023462(C0023462)"", ""MedDRA:10000859(Acute megakaryoblastic leukaemia)"", ""NDFRT:N0000001823(Leukemia, Megakaryoblastic, Acute [Disease/Finding])"", ""MONDO:MONDO:0018872(acute megakaryoblastic leukemia)"""
PA444759	Leukemia, Monocytic, Acute	"""Acute Monoblastic Leukemia"", ""Acute Monoblastic Leukemias"", ""Acute Monocytic Leukemia"", ""Acute Monocytic Leukemias"", ""Acute monoblastic leukaemia"", ""Acute monoblastic leukemia"", ""Acute monocytic leukaemia"", ""Acute monocytic leukemia, morphology"", ""Acute monocytoid leukemia"", ""Leukemia, Acute Monoblastic"", ""Leukemia, Acute Monocytic"", ""Leukemia, Monoblastic, Acute"", ""Leukemia, Myeloid, Acute, M5"", ""Leukemia, Myeloid, Schilling Type"", ""Leukemia, Myeloid, Schilling-Type"", ""Leukemia, Schilling-Type Myeloid"", ""Leukemias, Acute Monoblastic"", ""Leukemias, Acute Monocytic"", ""M5a - Acute monoblastic leukaemia"", ""M5a - Acute monoblastic leukemia"", ""Monoblastic Leukemia, Acute"", ""Monoblastic Leukemias, Acute"", ""Monoblastic leukemia"", ""Monoblastic leukemia, NOS"", ""Monocytic Leukemia, Acute"", ""Monocytic Leukemias, Acute"", ""Myeloid Leukemia, Acute, M5"", ""Myeloid Leukemia, Schilling Type"", ""Myeloid Leukemia, Schilling-Type"", ""Naegeli-type monocytic leukaemia"", ""Naegeli-type monocytic leukemia"", ""Schilling-Type Myeloid Leukemia"""		"""MeSH:D007948(Leukemia, Monocytic, Acute)"", ""SnoMedCT:22331004(Acute monocytic leukaemia)"", ""SnoMedCT:277601005(Acute monoblastic leukaemia)"", ""UMLS:C0023465(C0023465)"", ""MedDRA:10059439(Acute monoblastic leukaemia)"", ""NDFRT:N0000001824(Leukemia, Monocytic, Acute [Disease/Finding])"", ""MONDO:MONDO:0007896(acute monocytic leukemia)"", ""HP:HP:0004845(Acute monocytic leukemia)"""
PA444761	Leukemia, Myeloid	"""Aleukaemic granulocytic leukaemia [obs]"", ""Aleukaemic monocytic leukaemia [obs]"", ""Aleukaemic myelogenous leukaemia [obs]"", ""Aleukaemic myeloid leukaemia [obs]"", ""Aleukemic granulocytic leukemia [obs]"", ""Aleukemic monocytic leukemia [obs]"", ""Aleukemic myelogenous leukemia [obs]"", ""Atypical chronic myeloid leukaemia, BCR/ABL negative"", ""Atypical chronic myeloid leukemia, BCR/ABL negative"", ""Atypical chronic myeloid leukemia, Philadelphia chromosome (Ph1) negative"", ""Chronic Monocytic Leukemia"", ""Chronic Monocytic Leukemias"", ""Chronic monocytic leukaemia [obs]"", ""Chronic monocytic leukemia [obs]"", ""Eosinophilic leukaemia"", ""Eosinophilic leukemia"", ""Granulocytic Leukemia"", ""Granulocytic Leukemias"", ""Granulocytic leukaemia"", ""Granulocytic leukemia"", ""Granulocytic leukemia, NOS"", ""Leukemia, Chronic Monocytic"", ""Leukemia, Granulocytic"", ""Leukemia, Monocytic, Chronic"", ""Leukemia, Myelocytic"", ""Leukemia, Myelogenous"", ""Leukemia, Myeloid"", ""Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative"", ""Leukemias, Chronic Monocytic"", ""Leukemias, Granulocytic"", ""Leukemias, Myelocytic"", ""Leukemias, Myelogenous"", ""Leukemias, Myeloid"", ""Monocytic Leukemia, Chronic"", ""Monocytic Leukemias, Chronic"", ""Monocytic leukaemia"", ""Monocytic leukemia"", ""Myelocytic Leukemia"", ""Myelocytic Leukemias"", ""Myelocytic leukaemia"", ""Myelocytic leukemia"", ""Myelocytic leukemia, NOS"", ""Myelogenous Leukemia"", ""Myelogenous Leukemias"", ""Myelogenous leukaemia"", ""Myelogenous leukemia"", ""Myelogenous leukemia, NOS"", ""Myeloid Leukemia"", ""Myeloid Leukemias"", ""Myeloid leukaemia"", ""Myeloid leukaemia (category)"", ""Myeloid leukaemia - category"", ""Myeloid leukaemia NOS"", ""Myeloid leukaemia, NOS"", ""Myeloid leukemia"", ""Myeloid leukemia (category)"", ""Myeloid leukemia - category"", ""Myeloid leukemia NOS"", ""Myeloid leukemia, NOS"", ""Myelomonocytic leukaemia"", ""Myelomonocytic leukemia, NOS"", ""Subacute granulocytic leukaemia [obs]"", ""Subacute granulocytic leukemia [obs]"", ""Subacute monocytic leukemia [obs]"", ""Subacute myelogenous leukaemia [obs]"", ""Subacute myelogenous leukemia [obs]"", ""Subacute myeloid leukaemia [obs]"", ""Subacute myeloid leukemia [obs]"", ""[M]Myeloid leukaemia NOS"", ""[M]Myeloid leukemia NOS"""		"""MeSH:D007951(Leukemia, Myeloid)"", ""SnoMedCT:128934006(Myeloid leukaemia (category))"", ""SnoMedCT:188732008(Myeloid leukemia)"", ""SnoMedCT:188743000(Myeloid leukemia NOS)"", ""SnoMedCT:37810007(Myeloid leukemia)"", ""UMLS:C0023470(C0023470)"", ""MedDRA:10024299(Leukaemia granulocytic)"", ""NDFRT:N0000001826(Leukemia, Myeloid [Disease/Finding])"", ""MONDO:MONDO:0004643(myeloid leukemia)"", ""HP:HP:0012324(Myeloid leukemia)"""
PA444760	Leukemia, Myeloid, Acute	"""AML - Acute myeloblastic leukaemia"", ""Acute Myeloblastic Leukemia"", ""Acute Myeloblastic Leukemias"", ""Acute Myelocytic Leukemia"", ""Acute Myelocytic Leukemias"", ""Acute Myelogenous Leukemia"", ""Acute Myelogenous Leukemias"", ""Acute granulocytic leukaemia"", ""Acute myeloblastic leukemia"", ""Acute myeloid leukaemia"", ""Acute myeloid leukaemia - category"", ""Acute myeloid leukaemia, disease"", ""Acute myeloid leukemia"", ""Acute myeloid leukemia - category"", ""Acute myeloid leukemia, disease"", ""Acute non-lymphocytic leukaemia"", ""Acute non-lymphocytic leukemia"", ""Leukemia, Acute Myeloblastic"", ""Leukemia, Acute Myelocytic"", ""Leukemia, Acute Myelogenous"", ""Leukemia, Myeloblastic, Acute"", ""Leukemia, Myelocytic, Acute"", ""Leukemia, Myelogenous, Acute"", ""Leukemia, Myeloid, Acute"", ""Leukemia, Myeloid, Acute, M1"", ""Leukemia, Myeloid, Acute, M2"", ""Leukemias, Acute Myeloblastic"", ""Leukemias, Acute Myelocytic"", ""Leukemias, Acute Myelogenous"", ""Myeloblastic Leukemia, Acute"", ""Myeloblastic Leukemias, Acute"", ""Myelocytic Leukemia, Acute"", ""Myelocytic Leukemias, Acute"", ""Myelogenous Leukemia, Acute"", ""Myelogenous Leukemias, Acute"", ""Myeloid Leukemia, Acute, M1"", ""Myeloid Leukemia, Acute, M2"""		"""MeSH:D015470(Leukemia, Myeloid, Acute)"", ""SnoMedCT:17788007(Acute myeloid leukemia)"", ""SnoMedCT:413443009(Acute myeloid leukemia)"", ""SnoMedCT:91861009(Acute myeloid leukaemia, disease)"", ""UMLS:C0023467(C0023467)"", ""MedDRA:10000801(Acute granulocytic leukaemia)"", ""NDFRT:N0000003267(Leukemia, Myeloid, Acute [Disease/Finding])"", ""MONDO:MONDO:0018874(acute myeloid leukemia)"", ""HP:HP:0004808(Acute myeloid leukemia)"""
PA446183	Leukemia, Myelomonocytic, Acute	"""Acute Myelomonocytic Leukemia"", ""Acute Myelomonocytic Leukemias"", ""Acute myelomonocytic leukaemia (clinical)"", ""Acute myelomonocytic leukemia (clinical)"", ""Acute myelomonocytic leukemia, FAB M4"", ""Leukemia, Acute Myelomonocytic"", ""Leukemia, Myeloid, Acute, M4"", ""Leukemia, Myeloid, Naegeli-Type"", ""Leukemia, Naegeli-Type Myeloid"", ""Leukemias, Acute Myelomonocytic"", ""Myeloid Leukemia, Acute, M4"", ""Myeloid Leukemia, Naegeli Type"", ""Myeloid Leukemia, Naegeli-Type"", ""Myelomonocytic Leukemia, Acute"", ""Myelomonocytic Leukemias, Acute"", ""Naegeli-Type Myeloid Leukemia"", ""[M]Acute myelomonocytic leukaemia"""		"""MeSH:D015479(Leukemia, Myelomonocytic, Acute)"", ""SnoMedCT:110005000(Acute myelomonocytic leukemia, FAB M4)"", ""SnoMedCT:30962008(Acute myelomonocytic leukemia)"", ""UMLS:C0023479(C0023479)"", ""MedDRA:10000890(Acute myelomonocytic leukaemia)"", ""NDFRT:N0000003273(Leukemia, Myelomonocytic, Acute [Disease/Finding])"", ""MONDO:MONDO:0018871(acute myelomonocytic leukemia M4)"", ""HP:HP:0004820(Acute myelomonocytic leukemia)"""
PA446177	Leukemia, Nonlymphocytic, Acute	"""ANLL"", ""Acute Nonlymphoblastic Leukemia"", ""Acute Nonlymphoblastic Leukemias"", ""Acute Nonlymphocytic Leukemia"", ""Acute Nonlymphocytic Leukemias"", ""Leukemia, Acute Nonlymphoblastic"", ""Leukemia, Acute Nonlymphocytic"", ""Leukemia, Nonlymphoblastic, Acute"", ""Leukemias, Acute Nonlymphoblastic"", ""Leukemias, Acute Nonlymphocytic"", ""Nonlymphoblastic Leukemia, Acute"", ""Nonlymphoblastic Leukemias, Acute"", ""Nonlymphocytic Leukemia, Acute"", ""Nonlymphocytic Leukemias, Acute"""		"""UMLS:C0023467(C0023467)"", ""NDFRT:N0000003267(Leukemia, Myeloid, Acute [Disease/Finding])"", ""MONDO:MONDO:0018874(acute myeloid leukemia)"""
PA446180	Leukemia, Promyelocytic, Acute	"""APL - Acute promyelocytic leukaemia"", ""APL - Acute promyelocytic leukemia"", ""APML - Acute promyelocytic leukaemia"", ""APML - Acute promyelocytic leukemia"", ""Acute Promyelocytic Leukemia"", ""Acute Promyelocytic Leukemias"", ""Acute myeloid leukaemia, PML/RAR-alpha"", ""Acute myeloid leukemia, PML/RAR-alpha"", ""Acute myeloid leukemia, t(15;17)(q22;q11-12)"", ""Acute promyelocytic leukaemia (clinical)"", ""Acute promyelocytic leukaemia, FAB M3"", ""Acute promyelocytic leukaemia, PML/RAR-alpha"", ""Acute promyelocytic leukaemia, t(15;17)(q22;q11-12)"", ""Acute promyelocytic leukemia"", ""Acute promyelocytic leukemia (clinical)"", ""Acute promyelocytic leukemia, FAB M3"", ""FAB M3"", ""Leukemia, Acute Promyelocytic"", ""Leukemia, Myeloid, Acute, M3"", ""Leukemia, Progranulocytic"", ""Leukemias, Acute Promyelocytic"", ""Leukemias, Progranulocytic"", ""M3 - Acute promyelocytic leukemia"", ""Myeloid Leukemia, Acute, M3"", ""Progranulocytic Leukemia"", ""Progranulocytic Leukemias"", ""Promyelocytic Leukemia, Acute"", ""Promyelocytic Leukemias, Acute"", ""[M]Acute promyelocytic leukaemia"", ""[M]Acute promyelocytic leukemia"""		"""MeSH:D015473(Leukemia, Promyelocytic, Acute)"", ""SnoMedCT:110004001(Acute promyelocytic leukemia, FAB M3)"", ""SnoMedCT:28950004(Acute promyelocytic leukemia)"", ""UMLS:C0023487(C0023487)"", ""MedDRA:10001019(Acute promyelocytic leukaemia)"", ""NDFRT:N0000003270(Leukemia, Promyelocytic, Acute [Disease/Finding])"", ""MONDO:MONDO:0012883(acute promyelocytic leukemia)"", ""HP:HP:0004836(Acute promyelocytic leukemia)"""
PA446165	Leukemia, T-Cell	"""Leukemia, Lymphocytic, T Cell"", ""Leukemia, Lymphocytic, T-Cell"", ""Leukemia, Prolymphocytic, T-Cell"", ""Leukemia, T Cell"", ""Leukemia, T Lymphocytic"", ""Leukemia, T-Cell"", ""Leukemia, T-Cell Lymphocytic"", ""Leukemia, T-Lymphocytic"", ""Leukemias, T Lymphocytic"", ""Leukemias, T-Cell"", ""Leukemias, T-Cell Lymphocytic"", ""Leukemias, T-Lymphocytic"", ""Lymphocytic Leukemia, T"", ""Lymphocytic Leukemia, T Cell"", ""Lymphocytic Leukemia, T-Cell"", ""Lymphocytic Leukemias, T"", ""Lymphocytic Leukemias, T-Cell"", ""Prolymphocytic leukaemia, T-cell type"", ""Prolymphocytic leukemia, T-cell type"", ""T Cell Leukemia"", ""T Lymphocytic Leukemia"", ""T Lymphocytic Leukemias"", ""T-Cell Leukemia"", ""T-Cell Leukemias"", ""T-Cell Lymphocytic Leukemia"", ""T-Cell Lymphocytic Leukemias"", ""T-Lymphocytic Leukemia"", ""T-Lymphocytic Leukemias"", ""T-cell prolymphocytic leukaemia"", ""T-cell prolymphocytic leukemia"""		"""MeSH:D015458(Leukemia, T-Cell)"", ""UMLS:C0023492(Leukemia, T-Cell [Disease/Finding])"", ""NDFRT:N0000003255(Leukemia, T-Cell [Disease/Finding])"", ""MONDO:MONDO:0005525(T-cell leukemia)"""
PA444767	Leukocytosis	"""Increased blood leucocyte number"", ""Increased blood leukocyte number"", ""Leucocytosis"", ""Leucocytosis, NOS"", ""Leukocytoses"", ""Leukocytosis, NOS"", ""Pleocytoses"", ""Pleocytosis"""		MeSH:D007964(Leukocytosis), SnoMedCT:111583006(Leucocytosis), SnoMedCT:414478003(Leukocytosis), UMLS:C0023518(C0023518), MedDRA:10024279(Leucocytosis NOS), NDFRT:N0000001832(Leukocytosis [Disease/Finding]), HP:HP:0001974(Leukocytosis)
PA444771	Leukoencephalopathy, Progressive Multifocal	"""Encephalitis, JC Polyomavirus"", ""Encephalopathies, JC Polyomavirus"", ""Encephalopathy, JC Polyomavirus"", ""JC Polyomavirus Encephalitis"", ""JC Polyomavirus Encephalopathy"", ""Leukoencephalopathies, Progressive Multifocal"", ""Multifocal Leukoencephalopathies, Progressive"", ""Multifocal Leukoencephalopathy, Progressive"", ""Multifocal leucoencephalopathy"", ""Multifocal leukoencephalopathy"", ""Multifocal leukoencephalopathy, NOS"", ""PML - Progressive multifocal leucoencephalopathy"", ""PML - Progressive multifocal leukoencephalopathy"", ""PMLE - Progressive multifocal leucoencephalopathy"", ""PMLE - Progressive multifocal leukoencephalopathy"", ""Progressive Multifocal Leukoencephalopathies"", ""Progressive Multifocal Leukoencephalopathy"", ""Progressive multifocal leucoencephalopathy"""		"""MeSH:D007968(Leukoencephalopathy, Progressive Multifocal)"", ""SnoMedCT:22255007(Progressive multifocal leucoencephalopathy)"", ""UMLS:C0023524(C0023524)"", ""MedDRA:10036806(Progressive multifocal leucoencephalopathy)"", ""NDFRT:N0000001836(Leukoencephalopathy, Progressive Multifocal [Disease/Finding])"", ""MONDO:MONDO:0016318(progressive multifocal leukoencephalopathy)"""
